Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Carnes e derivados;356;Carne, bovina, fígado, grelhado;55,0;225;942;29,9;9,0;601;4,2;NA;2,0;6;10;356;0,22;420;5,8;82;309;12,58;4,0;14574;14574;14574;0,21;2,69;Tr;11,92;
Carnes e derivados;357;Carne, bovina, filé mingnon, sem gordura, cru;71,9;143;598;21,6;5,6;55;0,0;NA;1,1;3;21;357;0,01;193;1,9;49;322;0,08;2,8;4;4;4;0,12;0,10;0,04;1,78;
Carnes e derivados;358;Carne, bovina, filé mingnon, sem gordura, grelhado;57,0;220;919;32,8;8,8;103;0,0;NA;1,3;4;28;358;0,02;308;2,9;58;326;0,14;4,1;Tr;Tr;Tr;0,03;0,08;0,05;4,27;
Carnes e derivados;359;Carne, bovina, flanco, sem gordura, cozido;62,0;196;818;29,4;7,8;62;0,0;NA;0,9;4;14;359;Tr;181;2,8;42;249;0,07;5,6;2;2;2;Tr;Tr;Tr;2,32;
Carnes e derivados;360;Carne, bovina, flanco, sem gordura, cru;72,1;141;592;20,0;6,2;50;0,0;NA;1,0;3;18;360;Tr;167;1,6;54;324;0,05;4,5;2;2;2;0,11;0,16;Tr;3,28;
Carnes e derivados;361;Carne, bovina, fraldinha, com gordura, cozida;49,7;338;1416;24,2;26,0;65;0,0;NA;0,7;3;14;361;Tr;161;2,0;39;207;0,07;6,5;Tr;Tr;Tr;Tr;0,05;0,07;1,61;
Carnes e derivados;362;Carne, bovina, fraldinha, com gordura, crua;65,4;221;924;17,6;16,1;54;0,0;NA;0,9;3;16;362;0,00;131;1,5;51;274;0,04;4,2;5;5;5;0,08;0,07;0,03;3,56;
Carnes e derivados;363;Carne, bovina, lagarto, cozido;57,6;222;931;32,9;9,1;56;0,0;NA;0,9;4;13;363;Tr;167;1,9;48;254;0,05;7,0;3;3;3;Tr;Tr;Tr;2,55;
Carnes e derivados;364;Carne, bovina, lagarto, cru;71,0;135;564;20,5;5,2;56;0,0;NA;1,1;3;20;364;Tr;185;1,3;54;362;0,05;2,4;2;2;2;0,10;0,14;0,03;2,19;
Carnes e derivados;365;Carne, bovina, língua, cozida;53,4;315;1318;21,4;24,8;105;0,0;NA;0,7;6;12;365;0,01;136;2,1;59;175;0,08;4,1;Tr;Tr;Tr;Tr;0,08;Tr;1,83;
Carnes e derivados;366;Carne, bovina, língua, crua;65,0;215;901;17,1;15,8;118;0,0;NA;0,8;5;15;366;0,02;164;1,7;73;251;0,09;2,9;Tr;Tr;Tr;0,05;0,04;Tr;1,18;
Carnes e derivados;367;Carne, bovina, maminha, crua;70,0;153;639;20,9;7,0;51;0,0;NA;1,0;3;16;367;Tr;181;1,1;37;274;0,03;3,5;3;3;3;0,12;0,08;0,03;4,27;
Carnes e derivados;368;Carne, bovina, maminha, grelhada;65,3;153;641;30,7;2,4;88;0,0;NA;1,4;4;21;368;Tr;237;2,4;58;386;0,08;5,6;Tr;Tr;Tr;Tr;0,04;0,13;1,46;
Carnes e derivados;369;Carne, bovina, miolo de alcatra, sem gordura, cru;69,5;163;681;21,6;7,8;60;0,0;NA;1,0;3;20;369;0,01;165;2,0;43;299;0,06;3,0;4;4;4;0,12;0,07;Tr;3,59;
Carnes e derivados;370;Carne, bovina, miolo de alcatra, sem gordura, grelhado;52,4;241;1010;31,9;11,6;92;0,0;NA;1,2;5;26;370;0,02;279;3,2;52;385;0,11;4,8;Tr;Tr;Tr;0,03;0,05;0,05;4,66;
Carnes e derivados;371;Carne, bovina, músculo, sem gordura, cozido;62,8;194;811;31,2;6,7;56;0,0;NA;0,9;5;13;371;Tr;176;2,4;62;253;0,08;6,4;2;2;2;Tr;Tr;Tr;1,97;
Carnes e derivados;372;Carne, bovina, músculo, sem gordura, cru;72,4;142;592;21,6;5,5;51;0,0;NA;1,0;4;17;372;Tr;162;1,9;66;296;0,05;3,7;2;2;2;0,09;0,19;0,04;2,79;
