Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Frutas e derivados;219;Limão, galego, suco;91,8;22;93;0,6;0,1;NA;7,3;Tr;0,3;5;6;219;0,01;13;0,1;Tr;113;0,02;0,1;NA;;;Tr;Tr;0,03;Tr;34,5
Frutas e derivados;220;Limão, tahiti, cru;87,4;32;133;0,9;0,1;NA;11,1;1,2;0,4;51;10;220;0,07;24;0,2;1;128;0,06;0,2;NA;;;0,30;0,04;Tr;Tr;38,2
Frutas e derivados;221;Maçã, Argentina, com casca, crua;82,6;63;262;0,2;0,2;NA;16,6;2,0;0,3;3;5;221;0,01;11;0,1;1;117;0,03;Tr;NA;;;0,05;Tr;Tr;Tr;1,5
Frutas e derivados;222;Maçã, Fuji, com casca, crua;84,3;56;232;0,3;Tr;NA;15,2;1,3;0,2;2;2;222;0,03;9;0,1;Tr;75;0,06;Tr;NA;4;2;Tr;Tr;0,03;Tr;2,4
Frutas e derivados;223;Macaúba, crua;41,5;404;1692;2,1;40,7;NA;13,9;13,4;1,8;67;66;223;0,08;44;0,8;1;306;0,35;0,7;NA;1020;510;0,11;0,11;0,03;Tr;13,4
Frutas e derivados;224; Mamão, doce em calda, drenado;45,5;196;819;0,2;0,1;NA;54,0;1,3;0,2;20;6;224;0,02;4;0,1;3;68;0,02;0,1;NA;;;0,03;Tr;Tr;Tr;3,9
Frutas e derivados;225;Mamão, Formosa, cru;86,9;45;190;0,8;0,1;NA;11,6;1,8;0,6;25;17;225;0,04;11;0,2;3;222;1,36;0,1;NA;148;74;0,03;0,03;Tr;Tr;78,5
Frutas e derivados;226;Mamão, Papaia, cru;88,6;40;168;0,5;0,1;NA;10,4;1,0;0,4;22;22;226;0,01;11;0,2;2;126;0,02;0,1;NA;118;59;0,03;0,04;Tr;1,03;82,2
Frutas e derivados;227; Mamão verde, doce em calda, drenado;41,9;209;876;0,3;0,1;NA;57,6;1,2;0,1;12;5;227;0,04;3;0,2;5;9;0,02;0,0;NA;;;Tr;Tr;Tr;Tr;Tr
Frutas e derivados;228;Manga, Haden, crua;82,3;64;266;0,4;0,3;NA;16,7;1,6;0,4;12;8;228;0,17;9;0,1;1;148;0,10;0,1;NA;162;81;0,02;0,06;0,05;Tr;17,4
