Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Ovos e derivados;484;Omelete, de queijo;60,5;268;1121;15,6;22,0;384;0,4;NA;1,5;166;14;484;0,03;314;1,4;216;127;0,03;1,4;59;;;0,03;0,24;Tr;Tr;Tr
Ovos e derivados;485;Ovo, de codorna, inteiro, cru;71,7;177;740;13,7;12,7;568;0,8;NA;1,2;79;11;485;Tr;279;3,3;129;79;0,04;2,1;305;;;0,11;0,12;Tr;0,97; 
Ovos e derivados;486;Ovo, de galinha, clara, cozida/10minutos;85,2;59;249;13,4;0,1;NA;0,0;NA;0,7;6;11;486;Tr;15;0,1;181;146;0,03;Tr;NA;;;Tr;0,08;Tr;Tr; 
Ovos e derivados;487;Ovo, de galinha, gema, cozida/10minutos;50,0;353;1476;15,9;30,8;1272;1,6;NA;1,7;114;9;487;0,06;386;2,9;45;87;Tr;2,9;148;;;0,18;0,22;Tr;Tr; 
Ovos e derivados;488;Ovo, de galinha, inteiro, cozido/10minutos;75,8;146;610;13,3;9,5;397;0,6;NA;0,8;49;11;488;0,02;184;1,5;146;139;0,04;1,2;32;;;0,08;0,30;Tr;Tr; 
Ovos e derivados;489;Ovo, de galinha, inteiro, cru;75,6;143;599;13,0;8,9;356;1,6;NA;0,8;42;13;489;Tr;164;1,6;168;150;0,06;1,1;79;;;0,07;0,58;Tr;0,75; 
Ovos e derivados;490;Ovo, de galinha, inteiro, frito;63,5;240;1005;15,6;18,6;516;1,2;NA;1,1;73;16;490;0,03;422;2,1;166;184;0,04;1,5;94;;;0,06;0,32;Tr;Tr;Tr
