Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Outros alimentos industrializados;520;Azeitona, preta, conserva;68,5;194;812;1,2;20,3;NA;5,5;4,6;4,5;59;5;520;0,06;16;5,5;1567;79;0,25;0,3;NA;;;Tr;Tr;0,04;Tr;Tr
Outros alimentos industrializados;521;Azeitona, verde, conserva;76,3;137;573;0,9;14,2;NA;4,1;3,8;4,5;46;4;521;0,03;5;0,2;1347;20;0,14;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
Outros alimentos industrializados;522;Chantilly, spray, com gordura vegetal;55,1;315;1318;0,5;27,3;Tr;16,9;NA;0,2;2;1;522;Tr;16;Tr;110;5;0,01;0,1;Tr; ; ;0,07;Tr;Tr;Tr;
Outros alimentos industrializados;523;Leite, de coco;78,0;166;695;1,0;18,4;NA;2,2;0,7;0,4;6;17;523;0,24;26;0,5;44;144;0,16;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
Outros alimentos industrializados;524;Maionese, tradicional com ovos;58,4;302;1264;0,6;30,5;42;7,9;NA;2,6;3;1;524;Tr;14;0,1;787;16;Tr;0,1;8;;;Tr;0,05;Tr;Tr;Tr
