Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Leguminosas e derivados;567;Feijão, preto, cozido;80,2;77;322;4,5;0,5;NA;14,0;8,4;0,8;29;40;567;0,37;88;1,5;2;256;0,20;0,7;NA;;;0,06;Tr;0,03;Tr;Tr
Leguminosas e derivados;568;Feijão, preto, cru;14,9;324;1354;21,3;1,2;NA;58,8;21,8;3,8;111;188;568;1,32;471;6,5;Tr;1416;0,83;2,9;NA;;;0,12;Tr;0,59;4,60; 
Leguminosas e derivados;569;Feijão, rajado, cozido;77,9;85;354;5,5;0,4;NA;15,3;9,3;0,9;29;42;569;0,29;113;1,4;1;315;0,23;0,9;NA;;;0,09;Tr;0,04;Tr;Tr
Leguminosas e derivados;570;Feijão, rajado, cru;15,0;326;1363;17,3;1,2;NA;62,9;24,0;3,7;111;170;570;1,17;335;18,6;14;1135;0,84;2,6;NA;;;0,07;0,03;0,07;Tr;Tr
Leguminosas e derivados;571;Feijão, rosinha, cozido;82,6;68;284;4,5;0,5;NA;11,8;4,8;0,6;19;43;571;0,46;90;1,2;2;241;0,09;1,3;NA;;;Tr;Tr;Tr;3,69;Tr
Leguminosas e derivados;572;Feijão, rosinha, cru;12,0;337;1410;20,9;1,3;NA;62,2;20,6;3,6;68;184;572;1,08;394;5,3;24;1109;0,60;4,0;NA;;;0,16;0,03;Tr;3,92;Tr
Leguminosas e derivados;573;Feijão, roxo, cozido;80,0;77;322;5,7;0,5;NA;12,9;11,5;0,8;23;34;573;0,32;106;1,4;1;268;0,22;1,0;NA;;;0,15;Tr;0,03;Tr;Tr
Leguminosas e derivados;574;Feijão, roxo, cru;12,6;331;1387;22,2;1,2;NA;60,0;33,8;4,0;120;162;574;1,34;394;6,9;10;1221;1,04;3,3;NA;;;0,26;Tr;0,08;Tr;Tr
Leguminosas e derivados;575;Grão-de-bico, cru;12,3;355;1484;21,2;5,4;NA;57,9;12,4;3,2;114;146;575;3,16;342;5,4;5;1116;0,67;3,2;NA;;;0,52;Tr;0,75;Tr;Tr
Leguminosas e derivados;576;Guandu, cru;11,4;344;1440;19,0;2,1;NA;64,0;21,3;3,5;129;166;576;1,02;269;1,9;2;1215;0,57;2,0;NA;;;1,06;Tr;0,07;2,69;1,5
